Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Mere Jeevan Saathi,man,373.5,13.33928571
Mere Jeevan Saathi,captain,900.6666667,6.771929825
Pakeezah,salim,50.5,0.442982456
Pakeezah,father,128,6.736842105
Pakeezah,shahabuddin,215,3.771929825
Parichay,saheb,987,15.421875
Parichay,nilesh,539.3333333,17.97777778
Parichay,father,120.5,4.016666667
Parichay,ravi,668.6666667,5.223958333
Parichay,man,307,15.35
Parichay,rai,181,2.381578947
Piya Ka Ghar,ram,235.5,3.925
Raampur Ka Lakshman,prakash,355,3.380952381
Raampur Ka Lakshman,kedarnath,51,1.59375
Raampur Ka Lakshman,lakshman,146,1.237288136
Raampur Ka Lakshman,ratanlal,25,0.438596491
Raampur Ka Lakshman,ram,16.5,1.03125
Raja Jani,rajkumar,322.5,7.5
Rakhi Aur Hathkadi,father,41.66666667,3.787878788
Rakhi Aur Hathkadi,compassionate,0,0
Rakhi Aur Hathkadi,ramesh,126,6.631578947
Rakhi Aur Hathkadi,suraj,45.16666667,0.806547619
Rakhi Aur Hathkadi,raja,144,2.360655738
Rakhi Aur Hathkadi,man,41,2.05
Rakhi Aur Hathkadi,brother,170,3.148148148
Rivaaj,son,9.5,0.730769231
Rivaaj,shekhar,3991.633333,18.39462366
Rivaaj,brother,62,4.769230769
Roop Tera Mastana,ajit,486,5.855421687
Aarop,makhan,0,0
Aarop,subhash,243,1.50931677
Aarop,ravi,5015.333333,35.82380952
Aarop,desai,9,1.5
Abhimaan,subir,66,0.75862069
Achanak,ranjeet,92.33333333,0.879365079
Anamika,devendra,28,0.166666667
Anamika,brother,139,6.619047619
Seeta Aur Geeta,raka,34,0.507462687
Seeta Aur Geeta,ravi,55,1.617647059
Anhonee,,0,0
Anhonee,dr.,0,0
Shaadi Ke Baad,shyam,182,2.11627907
Shaadi Ke Baad,ram,44,1.375
Anokhi Ada,man,142,8.352941176
Anokhi Ada,gopal,580,6.904761905
Anokhi Ada,lalaji,557.3333333,7.054852321
Anokhi Ada,rakesh,2004.566667,30.83948718
Avishkaar,sunil,0,0
Shor,son,51,4.636363636
Shor,shankar,0,0
Shor,deepak,114.4,2.118518519
Bada Kabutar,father,160,8.888888889
Bada Kabutar,bhola,64,0.771084337
Sub Ka Saathi,father,303.3333333,11.66666667
Banarasi Babu,sohan,0,0
Banarasi Babu,saxena,0,0
Bandhe Haath,deepak,2509.75,11.0561674
Bandhe Haath,shyamu,1143.333333,10.78616352
Black Mail,dr.,0,0
Black Mail,khurana,102,2.756756757
Black Mail,kailash,0,0
Victoria No. 203,father,8.5,2.125
Victoria No. 203,man,218,9.47826087
Victoria No. 203,kumar,53,4.076923077
Bobby,nath,346.8333333,3.124624625
Bobby,bobby,57,0.780821918
Bobby,father,7,1.4
Bobby,mr.,0,0
Bobby,chopra,25,1.785714286
Bobby,raj,479.1666667,3.714470284
Bobby,jack,140,2.222222222
Bobby,prem,0,0
Yeh Gulistan Hamara,ding,623.5,18.89393939
Yeh Gulistan Hamara,vijay,279,4.982142857
Yeh Gulistan Hamara,rani,735,10.97014925
Chhalia,father,203.6666667,6.569892473
Chhalia,rehman,371.3333333,7.426666667
Chhalia,abdul,226.5,5.524390244
Chhalia,chhalia,450,10
Zaroorat,asit,0,0
Zaroorat,mohinder,34,2.615384615
Zaroorat,badal,113,2.511111111
Zaroorat,rakesh,32,1.391304348
Chhupa Rustam,son,83,1.23880597
Chhupa Rustam,bahadur,0,0
Chhupa Rustam,jimmy,0,0
Daag: A Poem of Love,son,207,9.409090909
Daag: A Poem of Love,sunil,288.5,3.135869565
Daag: A Poem of Love,man,40,4.444444444
Dharma,dharma,262,2.729166667
Dharma,chaman,114,1.78125
Dharma,she,0,0
Dharma,son,274,4.644067797
Dharma,ajit,22.36666667,0.254166667
Dharma,he,0,0
Dhund,chandrashekhar,841.5833333,2.390861742
Dhund,suresh,683.3333333,2.871148459
Dhund,man,1332.683333,9.94539801
Do Phool,son,8,1.333333333
Do Phool,atal,368,3.956989247
Do Phool,charitra,581.5,7.179012346
Do Phool,rai,149,5.518518519
Do Phool,diwan,60,2.222222222
Do Phool,pavitra,36.33333333,0.42745098
Hum Aapke Hain Koun..!,professor,6,0.545454545
Hum Aapke Hain Koun..!,prem,299.6666667,2.095571096
Mohra,amar,291,2.30952381
Mohra,tyson,110,1.571428571
Mohra,sahoo,559.5,10.55660377
Mohra,vishal,2928.333333,6.762894534
Mohra,inspector,10,0.103092784
Mohra,man,0,0
Mohra,jibran,220,4
Mohra,jindal,403.5,2.603225806
Mohra,commissioner,56.66666667,1.156462585
Mohra,siddiqui,148,7.789473684
Krantiveer,chattursingh,4.833333333,0.092948718
Krantiveer,atul,18.5,0.840909091
Krantiveer,pratap,74,0.47133758
Krantiveer,father,29.5,2.95
Raja Babu,nandu,35.41666667,0.466008772
Raja Babu,boy,0,0
Main Khiladi Tu Anari,actor,189,9.45
Main Khiladi Tu Anari,goli,528.3333333,8.128205128
Main Khiladi Tu Anari,karan,5469.733333,28.19450172
Main Khiladi Tu Anari,brother,191.9666667,7.998611111
Main Khiladi Tu Anari,kumar,9686.309524,127.4514411
Main Khiladi Tu Anari,arjun,44.16666667,1.577380952
Garam Hawa,salim,3280.654762,6.445294228
Garam Hawa,halim,1330.833333,6.721380471
Garam Hawa,shamshad,330,3.473684211
Garam Hawa,kazim,342,2.736
Garam Hawa,sikander,590.25,4.437969925
Garam Hawa,mirza,1601,4.459610028
Garam Hawa,brother,681.3333333,6.138138138
Aatish: Feel the Fire,baba,350.5,3.186363636
Aatish: Feel the Fire,nawab,119,3.051282051
Aatish: Feel the Fire,avinash,470,3.615384615
Gehri Chaal,ratan,654,3.353846154
Gehri Chaal,brother,955.8333333,27.30952381
Suhaag,father,107.5,2.828947368
Suhaag,raj,739.3333333,6.660660661
Suhaag,rai,99,1.706896552
Suhaag,ajay,337.4333333,2.83557423
Dilwale,thakur,1311.333333,5.509803922
Dilwale,vikram,557.5,2.18627451
Dilwale,bihari,603.4666667,27.43030303
Dilwale,sinha,128,3.368421053
Dilwale,natwar,0,0
Dilwale,arun,3893.633333,5.515061379
Dilwale,man,80,5
Dilwale,ram,0,0
Vijaypath,saxena,209,4.860465116
Vijaypath,dilawar,0,0
Vijaypath,karan,2,0.074074074
